YY,YYYY_1800,YYYY_1900,YYYY_2000
00,1800,1900,2000
01,1801,1901,2001
02,1802,1902,2002
03,1803,1903,2003
04,1804,1904,2004
05,1805,1905,2005
06,1806,1906,2006
07,1807,1907,2007
08,1808,1908,2008
09,1809,1909,2009
10,1810,1910,2010
11,1811,1911,2011
12,1812,1912,2012
13,1813,1913,2013
14,1814,1914,2014
15,1815,1915,2015
16,1816,1916,2016
17,1817,1917,2017
18,1818,1918,2018
19,1819,1919,2019
20,1820,1920,2020
21,1821,1921,2021
22,1822,1922,2022
23,1823,1923,2023
24,1824,1924,2024
25,1825,1925,2025
26,1826,1926,2026
27,1827,1927,2027
28,1828,1928,2028
29,1829,1929,2029
30,1830,1930,2030
31,1831,1931,2031
32,1832,1932,2032
33,1833,1933,2033
34,1834,1934,2034
35,1835,1935,2035
36,1836,1936,2036
37,1837,1937,2037
38,1838,1938,2038
39,1839,1939,2039
40,1840,1940,2040
41,1841,1941,2041
42,1842,1942,2042
43,1843,1943,2043
44,1844,1944,2044
45,1845,1945,2045
46,1846,1946,2046
47,1847,1947,2047
48,1848,1948,2048
49,1849,1949,2049
50,1850,1950,2050
51,1851,1951,2051
52,1852,1952,2052
53,1853,1953,2053
54,1854,1954,2054
55,1855,1955,2055
56,1856,1956,2056
57,1857,1957,2057
58,1858,1958,2058
59,1859,1959,2059
60,1860,1960,2060
61,1861,1961,2061
62,1862,1962,2062
63,1863,1963,2063
64,1864,1964,2064
65,1865,1965,2065
66,1866,1966,2066
67,1867,1967,2067
68,1868,1968,2068
69,1869,1969,2069
70,1870,1970,2070
71,1871,1971,2071
72,1872,1972,2072
73,1873,1973,2073
74,1874,1974,2074
75,1875,1975,2075
76,1876,1976,2076
77,1877,1977,2077
78,1878,1978,2078
79,1879,1979,2079
80,1880,1980,2080
81,1881,1981,2081
82,1882,1982,2082
83,1883,1983,2083
84,1884,1984,2084
85,1885,1985,2085
86,1886,1986,2086
87,1887,1987,2087
88,1888,1988,2088
89,1889,1989,2089
90,1890,1990,2090
91,1891,1991,2091
92,1892,1992,2092
93,1893,1993,2093
94,1894,1994,2094
95,1895,1995,2095
96,1896,1996,2096
97,1897,1997,2097
98,1898,1998,2098
99,1899,1999,2099
TEST,TEST,TEST,TEST
